1200
id, time
164, 21667
36, 21675
234, 21685
77, 21757
272, 21777
195, 21787
35, 21788
68, 21838
284, 21863
233, 21865
102, 21879
151, 21902
28, 21954
236, 22252
50, 22309
127, 22328
200, 22330
253, 22365
287, 22370
260, 22423
189, 22500
142, 22540
210, 22540
120, 22561
218, 22645
12, 22673
58, 22689
170, 22692
224, 22704
166, 22721
34, 22755
51, 22755
45, 22766
209, 22799
168, 22806
249, 22829
41, 22842
161, 22862
152, 22910
42, 22921
265, 23004
33, 23138
27, 23146
151, 23151
146, 23175
35, 23200
223, 23203
253, 23210
39, 23296
108, 23322
83, 23369
26, 23396
8, 23399
50, 23430
282, 23436
212, 23493
20, 23497
179, 23527
25, 23564
38, 23632
160, 23641
124, 23689
96, 23792
76, 23815
176, 23836
35, 23864
116, 23871
64, 23898
247, 23932
3, 24085
90, 24102
198, 24137
280, 24149
168, 24169
115, 24183
95, 24188
12, 24238
116, 24285
219, 24311
291, 24373
13, 24392
113, 24439
82, 24579
30, 24588
191, 24679
49, 24697
101, 24733
257, 24740
21, 24803
299, 25000
36, 25019
26, 25027
188, 25076
73, 25112
171, 25123
240, 25155
251, 25210
244, 25235
96, 25240
66, 25312
94, 25397
104, 25398
29, 25402
61, 25418
149, 25504
225, 25523
26, 25529
87, 25529
242, 25538
85, 25548
18, 25552
293, 25556
73, 25565
43, 25573
270, 25597
137, 25598
43, 25616
125, 25651
206, 25663
80, 25687
30, 25689
226, 25711
255, 25778
131, 25799
252, 25887
92, 25914
144, 25959
209, 25987
56, 26008
266, 26029
213, 26070
196, 26074
78, 26090
259, 26120
286, 26120
292, 26142
144, 26150
25, 26203
246, 26243
25, 26295
184, 26302
119, 26346
139, 26352
87, 26363
213, 26366
2, 26377
67, 26383
297, 26479
283, 26502
202, 26547
151, 26581
81, 26606
76, 26612
172, 26628
31, 26634
245, 26675
242, 26693
192, 26765
181, 26829
100, 26841
9, 26843
37, 26850
205, 26852
99, 26859
4, 26892
140, 26928
88, 26939
235, 26949
174, 26999
70, 27012
220, 27044
11, 27055
266, 27070
145, 27089
141, 27123
284, 27142
57, 27156
123, 27170
227, 27178
134, 27243
90, 27280
135, 27297
238, 27303
207, 27350
282, 27359
175, 27386
150, 27469
46, 27494
250, 27502
117, 27513
186, 27514
10, 27523
111, 27542
247, 27549
49, 27587
158, 27602
121, 27675
208, 27702
175, 27730
185, 27731
59, 27766
165, 27773
147, 27826
29, 27859
178, 27900
19, 27901
296, 27922
264, 27974
241, 28040
190, 28052
194, 28085
154, 28112
17, 28143
72, 28180
223, 28257
279, 28297
256, 28299
60, 28301
235, 28315
209, 28367
290, 28398
132, 28475
153, 28499
118, 28535
93, 28576
163, 28584
263, 28624
299, 28626
69, 28658
182, 28679
76, 28705
281, 28750
71, 28778
47, 28791
285, 28797
54, 28818
253, 28830
6, 28939
278, 28976
193, 28984
193, 28990
65, 28996
242, 29033
293, 29065
40, 29067
155, 29196
221, 29274
162, 29289
106, 29320
133, 29330
42, 29353
199, 29364
177, 29366
129, 29418
60, 29421
62, 29429
232, 29429
105, 29431
171, 29440
83, 29466
230, 29524
126, 29537
89, 29580
52, 29587
0, 29620
165, 29621
229, 29647
143, 29652
222, 29654
74, 29741
138, 29753
288, 29771
157, 29787
260, 29787
115, 29792
